"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"GPA33","-0.254076113374342","0.775632763772802","0.227650160576481","0.264387286578689"
"GPAT2","-0.135291734242051","0.873461056015641","0.15025029542673","0.36788487373623"
"GPBP1","-0.237356752602253","0.7887098635249","0.623907221132205","0.703621813604051"
"GPI","0.375752761425423","1.45608708836818","0.360409929518037","0.297147256653671"
"GPR12","0.10958852177277","1.11581884082532","0.0909075543410962","0.228012608511266"
"GPR150","0.111958940454055","1.11846693595768","0.461000645671585","0.808113309466547"
"GPR17","0.204456032865948","1.22685751325117","0.171477508810642","0.233135864891632"
"GPR18","-0.254480623043131","0.775319076269518","0.165513475440255","0.124165512261893"
"GPR31","-0.0632988561253907","0.938662906607309","0.297561842276008","0.831541431179083"
"GPR32","0.220320851405137","1.24647660020323","1.25703569404562","0.860867355063277"
"GPR34","-0.037525931385871","0.963169441078548","0.214947655702361","0.861408313512115"
"GPR35","0.131820336550047","1.14090332222561","0.2254257331063","0.558707955657399"
"GPR37","0.156973111927677","1.16996415539716","0.254666683697951","0.537639445365863"
"GPR39","-0.177416474692646","0.837430943091586","0.132842193332607","0.181698658834204"
"GPR52","0.87245928638198","2.39278817492738","0.558722384908264","0.118399797297328"
"GPRC5A","0.121439275438626","1.12912079847809","0.143301345943862","0.396749983712686"
"GPT","0.0509487551954636","1.05226896858392","0.133937817384305","0.703655111804526"
"GPX1","-0.54002516289673","0.582733588924384","0.37619482617152","0.151146568314315"
"GPX2","-0.0304453849609661","0.970013407940696","0.13761563961868","0.824909520947846"
"GPX3","0.0206838526498902","1.02089924602179","0.202424729449083","0.918613434563682"
"GPX4","-0.268455133158344","0.764559725420458","0.370431051089893","0.468629882594616"
"GPX5","-45.6601362625774","1.47929496208597e-20","18457.6519532615","0.998026212613459"
"GPX6","-45.7202141212195","1.39303906564992e-20","22212.2942781567","0.998357692062411"
"GPX7","0.0653945359403185","1.06758014004052","0.258050309908359","0.799945391702171"
"GRAMD1B","-0.277918828927628","0.757358294604327","0.200369407301293","0.165431930477385"
"GRAMD1C","-0.0930260889110347","0.911169728560067","0.237149386499457","0.694860288047233"
"GRAMD4","-0.18790909483518","0.828690036013049","0.500304500218234","0.707222131046449"
"GRB10","-0.0302737479067158","0.970179912473383","0.393340348749554","0.938650765447393"
"GRB14","-0.0128744996222101","0.987208022225926","0.126540017778094","0.918961055348949"
"GREB1","-0.151210001054257","0.859667148694491","0.167761094520675","0.367406887524853"
"GRHL1","0.0680363076701819","1.07040417165488","0.228859390594502","0.766249453769338"
"GRHL2","1.07315437605059","2.92459022265431","0.568690035253913","0.0591517456215338"
"GRHL3","0.0450802960267411","1.04611185516193","0.135734085442998","0.739797026692182"
"GRID1","0.29450512236071","1.34246183992592","0.254059159173965","0.246375080423191"
"GRID2","0.056313195004358","1.05792896992366","0.233503736634978","0.809426352279403"
"GRK4","0.91329034653676","2.49251027830083","0.498464183487114","0.066920353232618"
"GRK5","-0.206933385785508","0.81307381045683","0.330460293606373","0.53118545427934"
"GRM1","0.432015833584285","1.54035950438008","0.248847119447343","0.0825515896051145"
"GRM2","0.042736563732331","1.04366291996868","0.189554113071118","0.821622697846093"
"GRM3","-0.018290225978034","0.981876025072357","0.334131499394872","0.956345917176095"
"GRM4","-0.20176022393717","0.817290871237334","0.195782825965448","0.30276092152332"
"GRM5","-0.0646037211472717","0.937438876983538","0.244087427759747","0.791260212918609"
"GRM6","0.213189927141131","1.23761968649197","0.22845253399731","0.35072118338357"
"GRM7","-0.109738163053355","0.896068728482456","0.3330015457002","0.741745673145422"
"GRM8","0.221205411234495","1.2475796711262","0.221824217939004","0.318662406744526"
"GRPR","-0.0843852361785278","0.919077126127825","0.22885110242876","0.712325828289315"
"GRTP1","0.256909247324217","1.29292778477882","0.335789994916543","0.444218521376305"
"GSC","0.221575866896404","1.24804192969691","0.209966723084774","0.291292530964496"
"GSG1L","0.00973664618381829","1.00978420154119","0.203747925539456","0.961885433693101"
"GSN","-0.168213409732443","0.845173447197887","0.355232066045872","0.635834361072401"
"GSPT2","-0.142453761294262","0.867227652849443","0.156835767155959","0.363720301626214"
"GSR","-0.115837317786791","0.890620099561683","0.268395728660352","0.666038330126048"
"GSTK1","-0.27216324052747","0.761729905748594","0.310872920341066","0.381312409459258"
"GSTT2","0.233581642846171","1.26311594806239","0.151920937585947","0.124165758881827"
"GTF2B","-0.404759170783611","0.667137457704634","0.690688182252619","0.557860048948735"
"GTF2I","-0.386854114138899","0.679190171942579","0.371938225819719","0.298291988031116"
"GTF2IRD1","0.779181120478144","2.17968663374091","0.548543007758423","0.155475015235399"
"GTF2IRD2","-0.231595109711599","0.793267244496275","0.405783987736993","0.56817931408363"
"GTF2IRD2B","-0.264766413462171","0.767385179889545","0.290486144321248","0.362053211138057"
"GUCY2C","-0.0910434884683808","0.912978006020773","0.360018703037614","0.800356740325196"
"GYG1","0.092006699427913","1.09637216712251","0.551532473834978","0.867511607083145"
"GYG2","-0.113466927623637","0.892733720748567","0.215742741798186","0.598932504399905"
"GYS1","-0.272332242875647","0.761601182483419","0.478495670477911","0.56925940896354"
"GYS2","0.0612141085236677","1.06312651426921","0.343770731781813","0.858670619282271"
"HAND2","-0.172528476734987","0.841534324320623","0.159915873142404","0.280645576318199"
"HAO1","-0.146846330471626","0.863426649588251","0.167625695364901","0.381009857446141"
"HAO2","-0.296901326138709","0.743117335001203","0.409400910955677","0.468323671154834"
"HARBI1","0.635395588617009","1.8877687736078","0.511857576622142","0.214475625854668"
"HBEGF","-0.229412093524","0.795000851289481","0.36994128452515","0.535171482297852"
"HBG1","0.173473203208237","1.18942881346633","0.346945173364871","0.617073826203778"
"HBG2","0.630071905890863","1.87774559537991","0.377906570485133","0.0954609299817204"
"HBM","-22.5877821732723","1.54971145675278e-10","10776.6526743755","0.998327641243769"
"HCRT","-0.965179363496069","0.380914871388678","2.11972320563827","0.648869879684118"
"HDAC11","0.244410261762319","1.27686807319226","0.246955827272198","0.322324577227219"
"HDAC3","-1.09609445397707","0.334173669032928","0.687522990068711","0.110876493372326"
"HDAC4","-0.437159710666669","0.645868271120784","0.46516507498147","0.347322835407688"
"HDAC5","0.894493786189491","2.44609722780169","0.485374745956314","0.0653446151339731"
"HDAC6","1.00480367675419","2.73137098856712","0.715400324648364","0.160160062042567"
"HDAC7","-0.472504793049255","0.623438725937807","0.562388286957491","0.400810060023061"
"HDAC9","-0.0919060136465476","0.912190879010698","0.159938824545075","0.565540006500363"
"HDC","-0.171600757342371","0.842315394283704","0.193539951586683","0.375271374594988"
"HDGFL1","1.0397092890733","2.82839464959248","0.925433851669864","0.26123237575309"
"HDX","-0.169169016938846","0.844366179138103","0.215593750952005","0.432649610711958"
"HEATR1","-1.55856123793477","0.210438624607535","0.449041265356476","0.000518786354172612"
"HEATR3","-0.879055511762136","0.415174854326404","0.532496166451977","0.0987752620381995"
"HEATR4","0.705575534175378","2.02501181310863","0.26246252445553","0.00718188672231854"
"HEATR5A","0.141010816670041","1.1514371026326","0.395502609199619","0.721439389275101"
"HEATR5B","-0.0303740894309422","0.970082568026118","0.519659944706151","0.953390241208098"
"HEATR6","-0.22978934617979","0.794700991671951","0.431593455249844","0.594434560661708"
"HECA","0.342962801816834","1.40911634438366","0.461681896832455","0.457569346194988"
"HES1","0.422088291888938","1.52514317651081","0.351520777065116","0.229848502793497"
"HES2","0.04825595708894","1.04943923236184","0.117127302027425","0.680342497985502"
"HES5","0.376063429596238","1.45653951855466","0.237543125683952","0.113390128544092"
"HES6","0.142720296906455","1.15340714499751","0.168751896826077","0.397697579716296"
"HEY1","-0.160563188385816","0.85166400659783","0.217581215233943","0.46054726169657"
"HEY2","0.0941260552289793","1.09869823384587","0.132179479654241","0.476397946031494"
"HEYL","0.30880305377634","1.36179414387714","0.318375042545478","0.332078960249388"
"HFM1","0.00345819553372744","1.00346418199069","0.212081615328001","0.986990298277516"
"HGFAC","-0.0867552123867464","0.916901514297851","0.278300822266366","0.755244369052385"
"HHATL","0.0565643645371114","1.05819472282184","0.50074952708816","0.910062745762248"
"HHLA1","0.110444032840559","1.11677384464321","0.328661181430288","0.736839029332588"
"HHLA2","0.0652297091772463","1.06740418876285","0.23977572851588","0.785587671645851"
"HIC1","0.363237152721158","1.43797683892779","0.318628055755812","0.254284772418224"
"HIGD1A","-0.286970474416199","0.750533888461148","0.559128805397276","0.607779437889936"
"HIGD1B","0.0683335383186679","1.07072237586864","0.25272096991732","0.786859272920402"
"HIGD1C","0.302362183245355","1.35305119044709","2.03748748977154","0.882027471984866"
"HIP1R","0.351266545060859","1.42086600025758","0.32526753215469","0.280172833853822"
"HIRIP3","0.405394954532989","1.49989477332829","0.348017780504577","0.244072220564684"
"HMGXB3","-0.211051150784882","0.809732647361508","0.780800773318857","0.786928773970718"
"HMGXB4","-0.59796773383994","0.549928101503483","0.62376554360974","0.33773921889648"
"HMX1","-0.143029317769688","0.866728657971819","0.380472815837948","0.706972508601069"
"HMX2","0.0611016886390706","1.06300700442693","0.142972090424468","0.669111350435436"
"HMX3","0.0763464716635291","1.07933646888346","0.188967466943431","0.686198651578337"
"HOOK1","-0.143016865143147","0.86673945108731","0.373635582857377","0.701889566635278"
"HOOK2","0.748856438803307","2.11458048124733","0.350150520692155","0.0324623981914343"
"HOOK3","0.822112681958928","2.27530175225012","0.401843054284812","0.0407706241385376"
"HOXB1","-0.468307304947946","0.626061102418581","1.46096260710117","0.748553643070547"
"HOXB2","0.0293108983835797","1.02974469067369","0.178169286500333","0.86932848641003"
"HOXB3","0.0190242590863184","1.01920637333289","0.156016402062483","0.90294847051642"
"HOXB4","-0.140836224881301","0.868631560285852","0.195883796059518","0.472154207758323"
"HOXB5","0.00330291525177963","1.00330837588671","0.148228627183835","0.982222549916351"
"HOXB6","0.0106947059132194","1.01075209869768","0.152520409208784","0.944098279588038"
"HOXB8","-0.0223303327386056","0.977917143642124","0.144106036959517","0.876854704891247"
"HOXB9","-0.131898519107635","0.876429931458166","0.153716180170496","0.390856410913747"
"HOXC10","0.210231564353736","1.23396376889814","0.165252538985517","0.203307905233549"
"HOXC12","0.0939734931766734","1.098530626974","0.132502620342809","0.478188035418212"
"HOXC13","0.251355081421055","1.28576655509978","0.181229040338305","0.165457911865068"
"HP","-0.129946914658243","0.878142046153889","0.10996425021974","0.237316961034622"
"HPS1","0.099144736609086","1.10422610993621","0.51918779778627","0.848555973938127"
"HPS3","-0.471772986721361","0.623895129321576","0.456132529212742","0.301000945339997"
"HPS4","-0.630885712932387","0.532120286405177","0.574271014951782","0.271948979047392"
"HPS5","-0.93395725077413","0.392995447647494","0.522179749176953","0.0736834086883231"
"HPS6","0.0842717141031915","1.08792445807098","0.610617866419176","0.890232071206833"
"HPSE","0.283700773349705","1.32803548768253","0.216253334972713","0.189556962246164"
"HR","0.258134585836438","1.29451303001971","0.227762124353149","0.257066597927066"
"HRC","0.366935938588318","1.44330545596855","0.256646644059296","0.152793931126339"
"HRG","0.131168834684917","1.14016026366155","0.390662575749321","0.737051917418051"
"HRK","-0.235840649194992","0.78990653614683","0.190740917038555","0.216293205619081"
"HRNR","0.113905406623469","1.12064611417044","0.265074484320035","0.667405922177538"
"HS1BP3","0.49539821536267","1.64115164074693","0.481569295716287","0.30361297755752"
"HSD11B2","0.640709420970245","1.89782675995193","0.263633503854138","0.0150861850050572"
"HSD17B14","0.323069273802796","1.38136103972348","0.215746656187463","0.134276877177124"
"HSF2BP","0.391079354849691","1.47857584092145","0.245955241673591","0.111825163656455"
"HSPA13","0.278044903018379","1.32054549235633","0.35058396287727","0.427724943448085"
"HSPA14","0.565094949998977","1.75961485021839","0.429609943110103","0.188386427998427"
"HSPA1A","0.663771013516627","1.94210223665447","0.413192712728749","0.108176358324964"
"HSPA9","0.106956964843999","1.11288636021064","0.583694296303654","0.85460860528982"
"HSPBAP1","0.249627223584332","1.28354685149973","0.431004800715161","0.562471069388155"
"HSPE1","-0.205160836496917","0.814516301927058","0.385265346392554","0.594367090113223"
"HTATSF1","-0.515286848626938","0.597329226972538","0.549784445699694","0.348628687831678"
"HTR3C","0.539040423781108","1.7143610125938","0.50691944950591","0.287616437683264"
"HTR4","0.362984751138691","1.43761393709852","0.67317770691945","0.589741346325425"
"HTR6","0.203413194408082","1.22557876593336","0.197513297462449","0.30307061985826"
"HTR7","-0.211009254279641","0.80976657304029","0.232375296342138","0.363849835604787"
"HTRA2","0.652336788133214","1.92002227614879","0.559024578383112","0.243242803168009"
"HTRA3","0.104551049774032","1.11021206849482","0.187985764873335","0.578098256607246"
"HTRA4","-0.0174371259242626","0.982714020958488","0.171795989927198","0.919154329431628"
"IAH1","-0.317478361072912","0.727982433362673","0.567963198653605","0.576177421761309"
"ICA1","0.739266632799056","2.09439898762081","0.348952642824363","0.034130209301467"
"ICA1L","-0.191009355534804","0.826124859275166","0.218251382402627","0.381475697722897"
"IDH1","-0.863888613749874","0.421519763666967","0.362281437380166","0.0170986884012297"
"IDH2","0.486050861750303","1.62588268934773","0.412029098773126","0.23813873769323"
"IDH3A","0.244496787611238","1.27697856006617","0.417006230845502","0.557664208250548"
"IER3IP1","0.230363679872201","1.25905782066347","0.478433041472603","0.630163896987183"
"IFI35","-0.123265474176446","0.884028944550405","0.195046980360525","0.527401006370885"
"IFI44","-0.0459334868724888","0.955105487131122","0.170310082902784","0.787387186670255"
"IFIT1B","0.171084922412739","1.18659151295731","0.280725530642863","0.542233881741494"
"IFITM5","0.14423319373968","1.15515345167242","0.30223818742248","0.633207624170034"
"IFNA1","0.487835976936932","1.62878766931867","0.996106406389952","0.624315885542548"
