"","Estimate","Std. Error","Pr(>|z|)"
"ADAM15","0.641766136130813","0.378343151119506","0.0898377615323416"
"ADAM17","-0.123800356756281","0.396702062754323","0.75498436741912"
"ADAM18","4.77180992548804","2.89205935919728","0.0989491609029043"
"ADAM19","0.0268778748788542","0.245305405943285","0.912751174846917"
"ADAM33","0.0978308462832115","0.18878807765964","0.604315540387435"
"ADAT1","-0.275121047704254","0.314715397723408","0.382014801063776"
"ADAT2","0.361387797457901","0.37463810120583","0.334729303831642"
"ADAT3","0.248146511873431","0.259022329585775","0.338056684442024"
"ADCY1","-0.207347774115391","0.193755943521204","0.284552141877487"
"ADCY10","-0.0622377507766035","0.327705994349366","0.849372230466995"
"ADCY2","-0.0837324689120126","0.108046582690681","0.438359526800313"
"ADCY3","0.595111398992211","0.410441488713472","0.147078060016431"
"ADCY4","0.387677979368038","0.275334750846218","0.15912391814558"
"ADCY5","-0.0291494195402138","0.144721014165782","0.840371729179836"
"ADCY6","0.229125684050909","0.400423936435996","0.567181230350805"
"ADCY7","0.0707988778327863","0.322522929284283","0.826248275807483"
"ADCY8","-0.03544484783371","0.173263555391567","0.83790664270972"
"ADCY9","0.427395059342696","0.355996028374004","0.229921415439581"
"ADD1","-0.0624958401116429","0.656303915604807","0.924136960546236"
"ADD2","-0.125123742793717","0.124628425205186","0.315390974846324"
"ADH4","0.15491382812321","0.174325235937595","0.374192113431592"
"ADH5","-0.312744164023556","0.571278939220961","0.584072607643791"
"ADH6","-0.176801790901656","0.402551789850991","0.660514744601377"
"ADH7","-0.830067997143845","0.79306619864768","0.295257971941063"
"ADNP","-0.586658596082886","0.601475000485681","0.329378469967181"
"ADRA2B","-0.066657365736427","0.183319965953321","0.716147657575214"
"ADRA2C","-0.0146150517480879","0.159883233954414","0.927166193313392"
"ADSL","-1.09077987585634","0.709603610855038","0.124252204551175"
"AFMID","-0.478292639828258","0.403853416828959","0.236285472938563"
"AFTPH","0.449524923046485","0.630977594658527","0.476200942355913"
"AGFG1","0.368508010130304","0.443720969107313","0.406259019604736"
"AGFG2","-0.151771244530036","0.362969921518503","0.675846772020606"
"AGXT","0.379675439146087","0.33894608115893","0.262643578769236"
"AHCY","-0.61606274813181","0.464261311228274","0.184517241501378"
"AHNAK","0.0519061687114956","0.273383448874481","0.849414288339171"
"AHRR","0.375333139906537","0.233178944103456","0.107477421972774"
"AIRE","-0.273075694567512","0.599859903409372","0.648942016185261"
"AKAP1","0.185851078148206","0.371276368500366","0.616671379191597"
"AKAP3","0.21554942123968","0.219665166915303","0.326462793144368"
"AKAP4","0.393396900230051","1.67867469122972","0.814713509589244"
"AKAP5","-0.487081859491351","0.307402536635083","0.113078102685009"
"AKAP6","0.0909467902778271","0.254912985968718","0.721259637411665"
"AKAP7","-0.0626550990918816","0.305171204791719","0.837328910067265"
"AKAP8","0.124441913957022","0.604879375453105","0.837001719807882"
"AKAP9","-0.0895789358039299","0.453009692528533","0.843247111730204"
"AKIRIN1","0.145580250742993","0.520145730275809","0.779566822826269"
"AKIRIN2","0.230782241156774","0.644147789337524","0.72013730217708"
"AKR1B10","-0.131679429066775","0.136910920408232","0.336155561252667"
"AKR1B15","0.020071486793444","0.112763255395467","0.858725571194429"
"ALAS1","0.208900300414649","0.547436505382757","0.702760076346559"
"ALAS2","1.17894714986354","0.576316980605481","0.040790080602324"
"ALDH18A1","0.11612683504867","0.49251307740246","0.813600076950681"
"ALOX12B","0.0729137782383481","0.181817694368758","0.688400351814093"
"ALPI","-0.703348101242946","1.15867126178539","0.54383106888062"
"ALPK1","0.697256228166263","0.388886064068035","0.07297970235771"
"ALPK2","0.00173555205380976","0.207008090365777","0.99331062876296"
"ALPK3","0.206318931062428","0.292783044225999","0.481008177001755"
"ALPL","0.268059775671326","0.167762545830286","0.110075844028147"
"ALPP","-0.149768168299853","0.192092620989789","0.435587242562957"
"AMMECR1L","0.0234042544823077","0.688992106617788","0.972902007863334"
"AMN1","-0.423817924064377","0.36049408818501","0.239731385016797"
"ANGPT1","0.00973533292014033","0.151186576156536","0.948657431514782"
"ANGPT2","-0.355786602325339","0.297065109716246","0.231044683828069"
"ANGPT4","1.05711018080748","0.482730678453071","0.0285347557941576"
"ANKFN1","-0.214983129075741","0.347098108379492","0.535670792126018"
"ANKFY1","-0.00140747235092782","0.543396657464028","0.9979333711618"
"ANKK1","-0.0859171866540093","0.223145211324002","0.700216563733908"
"ANKLE1","0.328073714262375","0.202844564267877","0.105799499529572"
"ANKS1A","-0.118804242605148","0.441716523975016","0.787960174388933"
"ANKS1B","0.00608832605674747","0.208002447262332","0.976648891123602"
"AP1B1","-0.738584175919819","0.581550802375809","0.204075652743629"
"AP2A1","0.486406823528059","0.559701107997907","0.384821175056385"
"AP2A2","0.0733477317824204","0.582493482189787","0.899795043728601"
